trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.23176254155320164}",25,19,10.145514440706405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.2248096653066056}",25,8,-18.17139583952939,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.21806537534740741}",20,4,20.93176439068858,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.2115234140869852}",20,12,-4.008898948234907,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.20517771166437562}",25,17,14.153735761394366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.19902238031444436}",20,4,20.547921394790382,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.19305170890501103}",20,9,7.545619541099436,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.1872601576378607}",20,9,24.349648383757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.18164235290872485}",25,14,21.202168133420482,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.1761930823214631}",20,0,-16.28968661160165,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.17090728985181922}",20,0,26.832437268866595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.16578007115626464}",25,13,26.112252866445328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.1608066690215767}",20,14,1.802131777575469,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.1559824689509294}",30,16,9.340388638278858,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.1513029948824015}",20,13,13.373255089220452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.14676390503592945}",20,14,9.977823216782117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.14236098788485158}",25,2,25.790963612453172,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.13809015824830603}",30,13,33.39151172855611,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.13394745350085685}",30,13,-26.74936771797431,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.12992902989583113}",25,11,9.588217288591572,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
